num_subjects,trials_per_subject,images_per_trial,subjects_noise_scale,subjects_noise_df,frac_trials_repeated,perspective_dispersion,rep,ndim,niter,stress,status,confdist_row
30,10,20,0.5,1,0.0,0.0,0,2,50.0,0.9821453094482422,success,0
30,10,20,0.5,1,0.0,0.0,0,3,50.0,0.8690881133079529,success,1
30,10,20,0.5,1,0.0,0.0,0,4,50.0,0.8974469304084778,success,2
30,10,20,0.5,1,0.0,0.0,0,5,50.0,0.9025889039039612,success,3
30,10,20,0.5,1,0.0,0.0,0,6,50.0,0.8746392130851746,success,4
30,10,20,0.5,1,0.0,0.0,1,2,50.0,0.9066352248191833,success,5
30,10,20,0.5,1,0.0,0.0,1,3,50.0,0.858717143535614,success,6
30,10,20,0.5,1,0.0,0.0,1,4,50.0,0.9016326069831848,success,7
30,10,20,0.5,1,0.0,0.0,1,5,50.0,0.9508600234985352,success,8
30,10,20,0.5,1,0.0,0.0,1,6,50.0,0.96021568775177,success,9
30,10,20,0.5,1,0.0,0.0,2,2,50.0,0.9611819386482239,success,10
30,10,20,0.5,1,0.0,0.0,2,3,50.0,1.009793996810913,success,11
30,10,20,0.5,1,0.0,0.0,2,4,50.0,0.9667354822158813,success,12
30,10,20,0.5,1,0.0,0.0,2,5,50.0,0.9794602990150452,success,13
30,10,20,0.5,1,0.0,0.0,2,6,50.0,1.0106074810028076,success,14
30,10,20,0.5,1,0.0,0.25,0,2,50.0,0.4955778121948242,success,15
30,10,20,0.5,1,0.0,0.25,0,3,50.0,0.4179728627204895,success,16
30,10,20,0.5,1,0.0,0.25,0,4,50.0,0.38027721643447876,success,17
30,10,20,0.5,1,0.0,0.25,0,5,50.0,0.4219996929168701,success,18
30,10,20,0.5,1,0.0,0.25,0,6,50.0,0.444394588470459,success,19
30,10,20,0.5,1,0.0,0.25,1,2,50.0,0.7162947058677673,success,20
30,10,20,0.5,1,0.0,0.25,1,3,50.0,0.6970316171646118,success,21
30,10,20,0.5,1,0.0,0.25,1,4,50.0,0.6827796697616577,success,22
30,10,20,0.5,1,0.0,0.25,1,5,50.0,0.697460412979126,success,23
30,10,20,0.5,1,0.0,0.25,1,6,50.0,0.7244858741760254,success,24
30,10,20,0.5,1,0.0,0.25,2,2,50.0,1.4513607025146484,success,25
30,10,20,0.5,1,0.0,0.25,2,3,50.0,1.6260651350021362,success,26
30,10,20,0.5,1,0.0,0.25,2,4,50.0,1.8326689004898071,success,27
30,10,20,0.5,1,0.0,0.25,2,5,50.0,1.9142862558364868,success,28
30,10,20,0.5,1,0.0,0.25,2,6,50.0,2.0142314434051514,success,29
30,10,20,0.5,1,0.1,0.0,0,2,50.0,1.037212610244751,success,30
30,10,20,0.5,1,0.1,0.0,0,3,50.0,1.0363848209381104,success,31
30,10,20,0.5,1,0.1,0.0,0,4,50.0,0.9598046541213989,success,32
30,10,20,0.5,1,0.1,0.0,0,5,50.0,0.9442881941795349,success,33
30,10,20,0.5,1,0.1,0.0,0,6,50.0,0.9711872339248657,success,34
30,10,20,0.5,1,0.1,0.0,1,2,50.0,1.0492160320281982,success,35
30,10,20,0.5,1,0.1,0.0,1,3,50.0,1.015752911567688,success,36
30,10,20,0.5,1,0.1,0.0,1,4,50.0,1.0394845008850098,success,37
30,10,20,0.5,1,0.1,0.0,1,5,50.0,1.081392526626587,success,38
30,10,20,0.5,1,0.1,0.0,1,6,50.0,1.1054105758666992,success,39
30,10,20,0.5,1,0.1,0.0,2,2,50.0,0.4647181034088135,success,40
30,10,20,0.5,1,0.1,0.0,2,3,50.0,0.3794603943824768,success,41
30,10,20,0.5,1,0.1,0.0,2,4,50.0,0.3278503119945526,success,42
30,10,20,0.5,1,0.1,0.0,2,5,50.0,0.3500003516674042,success,43
30,10,20,0.5,1,0.1,0.0,2,6,50.0,0.36763301491737366,success,44
30,10,20,0.5,1,0.1,0.25,0,2,50.0,0.5522683262825012,success,45
30,10,20,0.5,1,0.1,0.25,0,3,50.0,0.4800732433795929,success,46
30,10,20,0.5,1,0.1,0.25,0,4,50.0,0.4959283471107483,success,47
30,10,20,0.5,1,0.1,0.25,0,5,50.0,0.504028856754303,success,48
30,10,20,0.5,1,0.1,0.25,0,6,50.0,0.5622919201850891,success,49
30,10,20,0.5,1,0.1,0.25,1,2,50.0,0.49161142110824585,success,50
30,10,20,0.5,1,0.1,0.25,1,3,50.0,0.39770227670669556,success,51
30,10,20,0.5,1,0.1,0.25,1,4,50.0,0.35716864466667175,success,52
30,10,20,0.5,1,0.1,0.25,1,5,50.0,0.3406866788864136,success,53
30,10,20,0.5,1,0.1,0.25,1,6,50.0,0.35541385412216187,success,54
30,10,20,0.5,1,0.1,0.25,2,2,50.0,0.5158015489578247,success,55
30,10,20,0.5,1,0.1,0.25,2,3,50.0,0.4273949861526489,success,56
30,10,20,0.5,1,0.1,0.25,2,4,50.0,0.42034345865249634,success,57
30,10,20,0.5,1,0.1,0.25,2,5,50.0,0.44980886578559875,success,58
30,10,20,0.5,1,0.1,0.25,2,6,50.0,0.4676916003227234,success,59
50,10,20,0.5,1,0.0,0.0,0,2,50.0,1.0135897397994995,success,60
50,10,20,0.5,1,0.0,0.0,0,3,50.0,1.0552504062652588,success,61
50,10,20,0.5,1,0.0,0.0,0,4,50.0,0.9590542316436768,success,62
50,10,20,0.5,1,0.0,0.0,0,5,50.0,1.0142558813095093,success,63
