num_subjects,trials_per_subject,images_per_trial,subjects_noise_scale,subjects_noise_df,frac_trials_repeated,perspective_dispersion,ndim,n_reps,mean_spearman,sem_spearman
30,10,20,0.5,1,0.0,0.0,2,3,0.07686337954831775,0.007124221509030425
30,10,20,0.5,1,0.0,0.0,3,3,0.1339960601861271,0.05559904670366232
30,10,20,0.5,1,0.0,0.0,4,3,0.15399248664415713,0.03672727369154951
30,10,20,0.5,1,0.0,0.0,5,3,0.14988354798866935,0.04910412356591155
30,10,20,0.5,1,0.0,0.0,6,3,0.14523808135778934,0.04900792107983687
30,10,20,0.5,1,0.0,0.25,2,3,0.09790233643512482,0.08784720729816287
30,10,20,0.5,1,0.0,0.25,3,3,0.11703690695197715,0.08707894253365155
30,10,20,0.5,1,0.0,0.25,4,3,0.09416740100295674,0.09112893261566979
30,10,20,0.5,1,0.0,0.25,5,3,0.06297801917656641,0.08344106354447191
30,10,20,0.5,1,0.0,0.25,6,3,0.04991930781060406,0.06619535429541651
30,10,20,0.5,1,0.1,0.0,2,3,0.06315298973203808,0.07792634298220565
30,10,20,0.5,1,0.1,0.0,3,3,0.07815824625037184,0.06805690736156608
30,10,20,0.5,1,0.1,0.0,4,3,0.048455575329298554,0.08221051578795854
30,10,20,0.5,1,0.1,0.0,5,3,0.05633208058230451,0.0829301068576948
30,10,20,0.5,1,0.1,0.0,6,3,0.0687160956469176,0.0691800060927412
30,10,20,0.5,1,0.1,0.25,2,3,0.5156627437444655,0.02883188253090263
30,10,20,0.5,1,0.1,0.25,3,3,0.5608329476064032,0.039521144905029684
30,10,20,0.5,1,0.1,0.25,4,3,0.49946510727465404,0.046814279035971844
30,10,20,0.5,1,0.1,0.25,5,3,0.4852276463845637,0.033852842267717904
30,10,20,0.5,1,0.1,0.25,6,3,0.45434184861910465,0.047147594057218654
50,10,20,0.5,1,0.0,0.0,2,3,0.1756414986764209,0.10636151916081069
50,10,20,0.5,1,0.0,0.0,3,3,0.17856071193015458,0.10640970956445288
50,10,20,0.5,1,0.0,0.0,4,3,0.17179329902001675,0.10341519541503207
50,10,20,0.5,1,0.0,0.0,5,3,0.15462923120757477,0.093308213064996
50,10,20,0.5,1,0.0,0.0,6,3,0.1972507061201295,0.12049503322902283
50,10,20,0.5,1,0.0,0.25,2,3,0.1532229900690414,0.004243901598527209
50,10,20,0.5,1,0.0,0.25,3,3,0.2521598194855198,0.03050996910739491
50,10,20,0.5,1,0.0,0.25,4,3,0.27217306619646303,0.04153697158560029
50,10,20,0.5,1,0.0,0.25,5,3,0.2606159762006943,0.0580423083954011
50,10,20,0.5,1,0.0,0.25,6,3,0.2445361380624472,0.054450985648640024
50,10,20,0.5,1,0.1,0.0,2,3,0.1876052038729867,0.12461804764622773
50,10,20,0.5,1,0.1,0.0,3,3,0.2059137176181467,0.149765607859126
50,10,20,0.5,1,0.1,0.0,4,3,0.1813093348312419,0.14832424971481456
50,10,20,0.5,1,0.1,0.0,5,3,0.19050545473424682,0.13189422365716805
50,10,20,0.5,1,0.1,0.0,6,3,0.1540273224751232,0.16013448835490146
50,10,20,0.5,1,0.1,0.25,2,3,0.016867837232230915,0.04021375055074874
50,10,20,0.5,1,0.1,0.25,3,3,5.508880316285365e-05,0.025164126186950228
50,10,20,0.5,1,0.1,0.25,4,3,-0.013678929984971758,0.01758072238386085
50,10,20,0.5,1,0.1,0.25,5,3,-0.0063965459406722215,0.020498771464000604
50,10,20,0.5,1,0.1,0.25,6,3,-0.02469233005813587,0.0171753890339179
75,10,20,0.5,1,0.0,0.0,2,3,0.055733590584312605,0.03587199702603438
75,10,20,0.5,1,0.0,0.0,3,3,0.05997006155093829,0.03826165397554627
75,10,20,0.5,1,0.0,0.0,4,3,0.07168368510800384,0.05262008917542756
75,10,20,0.5,1,0.0,0.0,5,3,0.030350773313448594,0.03424481625625597
75,10,20,0.5,1,0.0,0.0,6,3,0.03744140091969412,0.038061967564605906
75,10,20,0.5,1,0.0,0.25,2,3,0.42745451887184926,0.19161196870622915
75,10,20,0.5,1,0.0,0.25,3,3,0.3849805445881465,0.21816065284309716
75,10,20,0.5,1,0.0,0.25,4,3,0.36029102770857896,0.20390456248026562
75,10,20,0.5,1,0.0,0.25,5,3,0.32803841246616533,0.19940359399103427
75,10,20,0.5,1,0.0,0.25,6,3,0.32409980727442034,0.19712398166820194
75,10,20,0.5,1,0.1,0.0,2,3,0.24868501299601897,0.14977957980534348
75,10,20,0.5,1,0.1,0.0,3,3,0.288774676295981,0.1610519851362163
75,10,20,0.5,1,0.1,0.0,4,3,0.34181526460247674,0.13512482258075992
75,10,20,0.5,1,0.1,0.0,5,3,0.3822131596298579,0.07946580570951832
75,10,20,0.5,1,0.1,0.0,6,3,0.3810945792404352,0.06873632885054326
75,10,20,0.5,1,0.1,0.25,2,3,0.12172685686627512,0.04764445610462339
75,10,20,0.5,1,0.1,0.25,3,3,0.16663407584137388,0.09987345182707101
75,10,20,0.5,1,0.1,0.25,4,3,0.1513431879860175,0.12397916670821374
75,10,20,0.5,1,0.1,0.25,5,3,0.16694659452274488,0.11800622502126087
75,10,20,0.5,1,0.1,0.25,6,3,0.1418829523983445,0.09459868037482073
