num_subjects,trials_per_subject,images_per_trial,subjects_noise_scale,subjects_noise_df,frac_trials_repeated,perspective_dispersion,rep_i,rep_j,spearman
30,10,20,0.5,1,0.0,0.0,0,1,0.47367351002681146
30,10,20,0.5,1,0.0,0.0,0,2,0.45025155250853865
30,10,20,0.5,1,0.0,0.0,1,2,0.45359737308352555
30,10,20,0.5,1,0.0,0.25,0,1,0.3988797914691457
30,10,20,0.5,1,0.0,0.25,0,2,0.47004447129917415
30,10,20,0.5,1,0.0,0.25,1,2,0.43319969207517955
30,10,20,0.5,1,0.1,0.0,0,1,0.44865112209567776
30,10,20,0.5,1,0.1,0.0,0,2,0.47910819667843724
30,10,20,0.5,1,0.1,0.0,1,2,0.47941753507616225
30,10,20,0.5,1,0.1,0.25,0,1,0.4557351629429265
30,10,20,0.5,1,0.1,0.25,0,2,0.44198208498847485
30,10,20,0.5,1,0.1,0.25,1,2,0.4280084174911687
50,10,20,0.5,1,0.0,0.0,0,1,0.5407766141182119
50,10,20,0.5,1,0.0,0.0,0,2,0.5176107447866981
50,10,20,0.5,1,0.0,0.0,1,2,0.5059109615664763
50,10,20,0.5,1,0.0,0.25,0,1,0.49868644553199093
50,10,20,0.5,1,0.0,0.25,0,2,0.4765048685060337
50,10,20,0.5,1,0.0,0.25,1,2,0.5277878177492183
50,10,20,0.5,1,0.1,0.0,0,1,0.5311504196138503
50,10,20,0.5,1,0.1,0.0,0,2,0.5018390180387807
50,10,20,0.5,1,0.1,0.0,1,2,0.5195253472636355
50,10,20,0.5,1,0.1,0.25,0,1,0.5322144878027326
50,10,20,0.5,1,0.1,0.25,0,2,0.48579713849097134
50,10,20,0.5,1,0.1,0.25,1,2,0.49805193436412737
75,10,20,0.5,1,0.0,0.0,0,1,0.5341143022751165
75,10,20,0.5,1,0.0,0.0,0,2,0.5489602207964462
75,10,20,0.5,1,0.0,0.0,1,2,0.505083538061676
75,10,20,0.5,1,0.0,0.25,0,1,0.6064851249101765
75,10,20,0.5,1,0.0,0.25,0,2,0.566476279038021
75,10,20,0.5,1,0.0,0.25,1,2,0.5842087103772972
75,10,20,0.5,1,0.1,0.0,0,1,0.5093520518603414
75,10,20,0.5,1,0.1,0.0,0,2,0.5621697343329245
75,10,20,0.5,1,0.1,0.0,1,2,0.5170383331683825
75,10,20,0.5,1,0.1,0.25,0,1,0.5252558631355273
75,10,20,0.5,1,0.1,0.25,0,2,0.5401099308748687
75,10,20,0.5,1,0.1,0.25,1,2,0.4865836676471741
