curated_path,imagenet_class_idx,imagenet_wnid,imagenet_class_name,wordnet_synset_name,selected_rank
animate\animal\body\bird\chick1.png,8,n01514859,hen,hen.n.02,1
animate\animal\body\bird\chick2.png,7,n01514668,cock,cock.n.05,1
animate\animal\body\bird\chicken1.png,7,n01514668,cock,cock.n.05,1
animate\animal\body\bird\duck1.png,136,n02017213,European_gallinule,european_gallinule.n.01,1
animate\animal\body\bird\duck2.png,97,n01847000,drake,drake.n.02,1
animate\animal\body\bird\duck3.png,82,n01797886,ruffed_grouse,ruffed_grouse.n.01,1
animate\animal\body\bird\duck4.png,98,n01855032,red-breasted_merganser,red-breasted_merganser.n.01,1
animate\animal\body\bird\eagle1.png,22,n01614925,bald_eagle,bald_eagle.n.01,1
animate\animal\body\bird\finch1.png,10,n01530575,brambling,brambling.n.01,1
animate\animal\body\bird\goose1.png,99,n01855672,goose,goose.n.01,3
animate\animal\body\bird\hawk1.png,21,n01608432,kite,kite.n.04,2
animate\animal\body\bird\parrot1.png,88,n01818515,macaw,macaw.n.01,2
animate\animal\body\bird\parrot2.png,88,n01818515,macaw,macaw.n.01,2
animate\animal\body\bird\parrot3.png,88,n01818515,macaw,macaw.n.01,2
animate\animal\body\bird\parrot4.png,87,n01817953,African_grey,african_grey.n.01,1
animate\animal\body\bird\parrot5.png,88,n01818515,macaw,macaw.n.01,2
animate\animal\body\bird\seagull1.png,146,n02058221,albatross,albatross.n.02,1
animate\animal\body\butterfly\butterfly1.png,326,n02281787,lycaenid,lycaenid.n.01,1
animate\animal\body\butterfly\butterfly10.png,326,n02281787,lycaenid,lycaenid.n.01,1
animate\animal\body\butterfly\butterfly11.png,325,n02281406,sulphur_butterfly,sulphur_butterfly.n.01,2
animate\animal\body\butterfly\butterfly13.png,326,n02281787,lycaenid,lycaenid.n.01,2
animate\animal\body\butterfly\butterfly15.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly17.png,322,n02277742,ringlet,ringlet.n.04,2
animate\animal\body\butterfly\butterfly18.png,322,n02277742,ringlet,ringlet.n.04,2
animate\animal\body\butterfly\butterfly19.png,325,n02281406,sulphur_butterfly,sulphur_butterfly.n.01,1
animate\animal\body\butterfly\butterfly20.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly21.png,714,n03929660,pick,pick.n.05,3
animate\animal\body\butterfly\butterfly22.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly23.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly24.png,324,n02280649,cabbage_butterfly,cabbage_butterfly.n.01,1
animate\animal\body\butterfly\butterfly25.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly26.png,459,n02892767,brassiere,brassiere.n.01,2
animate\animal\body\butterfly\butterfly27.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly28.png,326,n02281787,lycaenid,lycaenid.n.01,1
animate\animal\body\butterfly\butterfly29.png,322,n02277742,ringlet,ringlet.n.04,2
animate\animal\body\butterfly\butterfly3.png,322,n02277742,ringlet,ringlet.n.04,2
animate\animal\body\butterfly\butterfly30.png,714,n03929660,pick,pick.n.05,2
animate\animal\body\butterfly\butterfly31.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly32.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly33.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly34.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly35.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly36.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly38.png,5,n01496331,electric_ray,electric_ray.n.01,3
animate\animal\body\butterfly\butterfly4.png,325,n02281406,sulphur_butterfly,sulphur_butterfly.n.01,1
animate\animal\body\butterfly\butterfly5.png,322,n02277742,ringlet,ringlet.n.04,2
animate\animal\body\butterfly\butterfly8.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\butterfly\butterfly9.png,322,n02277742,ringlet,ringlet.n.04,1
animate\animal\body\fish\fish1.png,389,n02514041,barracouta,barracouta.n.01,2
animate\animal\body\fish\fish11.png,392,n02606052,rock_beauty,rock_beauty.n.01,1
animate\animal\body\fish\fish7.png,389,n02514041,barracouta,barracouta.n.01,3
animate\animal\body\mammal\canine\bernese1.png,244,n02108551,Tibetan_mastiff,tibetan_mastiff.n.01,1
animate\animal\body\mammal\canine\bloodhound1.png,163,n02088466,bloodhound,bloodhound.n.01,1
animate\animal\body\mammal\canine\fox1.png,277,n02119022,red_fox,red_fox.n.03,1
animate\animal\body\mammal\canine\german_shepherd1.png,235,n02106662,German_shepherd,german_shepherd.n.01,1
animate\animal\body\mammal\canine\german_shepherd2.png,235,n02106662,German_shepherd,german_shepherd.n.01,2
animate\animal\body\mammal\canine\great_dane1.png,246,n02109047,Great_Dane,great_dane.n.01,1
animate\animal\body\mammal\canine\great_dane2.png,168,n02090379,redbone,redbone.n.01,2
animate\animal\body\mammal\canine\puppy1.png,240,n02107908,Appenzeller,appenzeller.n.01,1
animate\animal\body\mammal\feline\cat1.png,282,n02123159,tiger_cat,tiger_cat.n.02,1
animate\animal\body\mammal\feline\cat2.png,281,n02123045,tabby,tabby.n.01,1
animate\animal\body\mammal\feline\lion1.png,291,n02129165,lion,lion.n.01,1
animate\animal\body\mammal\feline\snow_leopard1.png,289,n02128757,snow_leopard,snow_leopard.n.01,1
animate\animal\body\mammal\hooved\camel1.png,354,n02437312,Arabian_camel,arabian_camel.n.01,1
animate\animal\body\mammal\hooved\cow1.png,345,n02403003,ox,ox.n.01,1
animate\animal\body\mammal\hooved\donkey1.png,353,n02423022,gazelle,gazelle.n.01,1
animate\animal\body\mammal\hooved\elk1.png,351,n02422106,hartebeest,hartebeest.n.01,1
animate\animal\body\mammal\hooved\goat1.png,350,n02417914,ibex,ibex.n.01,1
animate\animal\body\mammal\hooved\goat2.png,350,n02417914,ibex,ibex.n.01,1
animate\animal\body\mammal\hooved\goat3.png,350,n02417914,ibex,ibex.n.01,1
animate\animal\body\mammal\hooved\sheep1.png,348,n02412080,ram,ram.n.05,1
animate\animal\body\mammal\hooved\sheep2.png,348,n02412080,ram,ram.n.05,1
animate\animal\body\mammal\hooved\skunk_pig1.png,342,n02396427,wild_boar,wild_boar.n.01,1
animate\animal\body\mammal\marsupial\kangaroo1.png,104,n01877812,wallaby,wallaby.n.01,1
animate\animal\body\mammal\primate\monkey1.png,373,n02487347,macaque,macaque.n.01,1
animate\animal\body\mammal\primate\monkey2.png,382,n02494079,squirrel_monkey,squirrel_monkey.n.01,1
animate\animal\body\mammal\rodent\armadillo1.png,363,n02454379,armadillo,armadillo.n.01,1
animate\animal\body\mammal\rodent\hedgehog1.png,334,n02346627,porcupine,porcupine.n.01,1
animate\animal\body\mammal\rodent\squirrel1.png,382,n02494079,squirrel_monkey,squirrel_monkey.n.01,1
animate\animal\body\mammal\rodent\sugar_glider1.png,356,n02441942,weasel,weasel.n.02,2
animate\animal\body\mammal\rodent\sugar_glider2.png,356,n02441942,weasel,weasel.n.02,1
animate\animal\face\bird\chicken1.png,8,n01514859,hen,hen.n.02,1
animate\animal\face\bird\duck1.png,97,n01847000,drake,drake.n.02,2
animate\animal\face\bird\duck2.png,99,n01855672,goose,goose.n.01,3
animate\animal\face\bird\duck3.png,97,n01847000,drake,drake.n.02,1
animate\animal\face\bird\eagle1.png,22,n01614925,bald_eagle,bald_eagle.n.01,2
animate\animal\face\bird\goose1.png,99,n01855672,goose,goose.n.01,1
animate\animal\face\bird\grey_crowned_crane1.png,134,n02012849,crane,crane.n.05,1
animate\animal\face\bird\parrot1.png,90,n01820546,lorikeet,lorikeet.n.01,1
animate\animal\face\bird\parrot2.png,89,n01819313,sulphur-crested_cockatoo,sulphur-crested_cockatoo.n.01,2
animate\animal\face\bird\pheasant1.png,8,n01514859,hen,hen.n.02,1
animate\animal\face\mammal\bear\polar_bear1.png,296,n02134084,ice_bear,ice_bear.n.01,1
animate\animal\face\mammal\canine\border_collie1.png,232,n02106166,Border_collie,border_collie.n.01,1
animate\animal\face\mammal\canine\german_shepherd1.png,235,n02106662,German_shepherd,german_shepherd.n.01,1
animate\animal\face\mammal\canine\great_dane1.png,246,n02109047,Great_Dane,great_dane.n.01,1
animate\animal\face\mammal\canine\samoyed1.png,258,n02111889,Samoyed,samoyed.n.03,1
animate\animal\face\mammal\feline\cat_angora1.png,283,n02123394,Persian_cat,persian_cat.n.01,1
