curated_path,curated_filename,category,source_dataset,source_filename_or_url,manual_match_validation,wn_synset_name
animate\animal\body\bird\chick1.png,chick1.png,AB,"Kiani et al., 2007",66990000.bmp,V,chick.n.01
animate\animal\body\bird\chick2.png,chick2.png,AB,"Kiani et al., 2007",67000000.bmp,V,chick.n.01
animate\animal\body\bird\chicken1.png,chicken1.png,AB,"Kiani et al., 2007",67800000.bmp,V,chicken.n.01
animate\animal\body\bird\duck1.png,duck1.png,AB,"Kiani et al., 2007",67030000.bmp,V,duck.n.01
animate\animal\body\bird\duck2.png,duck2.png,AB,"Kiani et al., 2007",67060000.bmp,V,duck.n.01
animate\animal\body\bird\duck3.png,duck3.png,AB,"Kiani et al., 2007",67090000.bmp,V,duck.n.01
animate\animal\body\bird\duck4.png,duck4.png,AB,"Kiani et al., 2007",67670000.bmp,V,duck.n.01
animate\animal\body\bird\eagle1.png,eagle1.png,AB,"Kiani et al., 2007",67530000.bmp,V,eagle.n.01
animate\animal\body\bird\finch1.png,finch1.png,AB,"Kiani et al., 2007",67640000.bmp,V,finch.n.01
animate\animal\body\bird\goose1.png,goose1.png,AB,"Kiani et al., 2007",67070000.bmp,V,goose.n.01
animate\animal\body\bird\hawk1.png,hawk1.png,AB,"Kiani et al., 2007",67050000.bmp,V,hawk.n.01
animate\animal\body\bird\parrot1.png,parrot1.png,AB,"Kiani et al., 2007",67760000.bmp,V,parrot.n.01
animate\animal\body\bird\parrot2.png,parrot2.png,AB,"Kiani et al., 2007",67010000.bmp,V,parrot.n.01
animate\animal\body\bird\parrot3.png,parrot3.png,AB,"Kiani et al., 2007",67770000.bmp,V,parrot.n.01
animate\animal\body\bird\parrot4.png,parrot4.png,AB,"Kiani et al., 2007",67780000.bmp,V,parrot.n.01
animate\animal\body\bird\parrot5.png,parrot5.png,AB,"Kiani et al., 2007",67790000.bmp,V,parrot.n.01
animate\animal\body\bird\seagull1.png,seagull1.png,AB,"Kiani et al., 2007",67080000.bmp,V,gull.n.02
animate\animal\body\butterfly\butterfly1.png,butterfly1.png,AB,online source,https://commons.wikimedia.org/wiki/File:Cymothoe_sangaris_%28blood_red_glider_butterfly%29_%2817232935946%29.jpg,V,butterfly.n.01
animate\animal\body\butterfly\butterfly10.png,butterfly10.png,AB,online source,https://commons.wikimedia.org/wiki/File:Morpho_menenlaus_%28Menelaus_blue_morpho_butterfly%29_%2823472421299%29.jpg,V,butterfly.n.01
animate\animal\body\butterfly\butterfly11.png,butterfly11.png,AB,online source,https://commons.wikimedia.org/wiki/File:Argema_mittrei_female_mounted.jpg,V,butterfly.n.01
